0,0,20,1,0,0,0,0,0,0,0
1,x,x,1,1,1,1,0,0,0,0
2,x,x,0,1,1,1,0,0,0,0
3,84,100,0,1,1,1,0,0,0,0
4,84,100,1,1,1,1,0,0,0,0
5,84,300,1,1,1,1,0,0,0,0
5,84,300,0,1,1,1,0,0,0,0
5,83,99,0,1,1,1,0,0,0,0
5,83,99,1,1,1,1,0,0,0,0
5,83,299,1,1,1,1,0,0,0,0
5,83,299,0,1,1,1,0,0,0,0
5,82,98,0,1,1,1,0,0,0,0
5,82,98,1,1,1,1,0,0,0,0
5,82,298,1,1,1,1,0,0,0,0
5,82,298,0,1,1,1,0,0,0,0
5,81,97,0,1,1,1,0,0,0,0
5,81,97,1,1,1,1,0,0,0,0
5,81,297,1,1,1,1,0,0,0,0
5,81,297,0,1,1,1,0,0,0,0
5,80,96,0,1,1,1,0,0,0,0
5,80,96,1,1,1,1,0,0,0,0
5,80,296,1,1,1,1,0,0,0,0
5,80,296,0,1,1,1,0,0,0,0
5,79,95,0,1,1,1,0,0,0,0
5,79,95,1,1,1,1,0,0,0,0
5,79,295,1,1,1,1,0,0,0,0
5,79,295,0,1,1,1,0,0,0,0
5,78,94,0,1,1,1,0,0,0,0
5,78,94,1,1,1,1,0,0,0,0
5,78,294,1,1,1,1,0,0,0,0
5,78,294,0,1,1,1,0,0,0,0
5,77,93,0,1,1,1,0,0,0,0
5,77,93,1,1,1,1,0,0,0,0
5,77,293,1,1,1,1,0,0,0,0
5,77,293,0,1,1,1,0,0,0,0
5,76,92,0,1,1,1,0,0,0,0
5,76,92,1,1,1,1,0,0,0,0
5,76,292,1,1,1,1,0,0,0,0
5,76,292,0,1,1,1,0,0,0,0
5,75,91,0,1,1,1,0,0,0,0
5,75,91,1,1,1,1,0,0,0,0
5,75,291,1,1,1,1,0,0,0,0
5,75,291,1,1,1,1,0,0,0,0
5,75,291,1,1,1,1,0,0,0,0
5,75,291,1,1,1,1,0,0,0,0
6,30,22,1,0,0,0,0,0,0,0
7,40,23,1,0,0,0,0,0,0,0
8,40,23,1,0,0,1,0,0,0,0
9,20,21,0,0,0,0,0,0,0,0
10,30,22,0,0,0,0,0,0,0,0
11,40,23,0,0,0,0,0,0,0,0
